store_name,address,zip,new_status
JEWEL - OSCO,87 W 87TH ST,60620,OPEN
FARM ON OGDEN,3555 W OGDEN AVE,60623,OPEN
JEWEL - OSCO,5343 N BROADWAY ST,60640,OPEN
INTERNATIONAL FOODS NW,4404 W FULLERTON AVE,60639,OPEN
JEWEL - OSCO,2520 N NARRAGANSETT AVE,60639,OPEN
MARIANO'S FRESH MARKET,40 S HALSTED ST,60661,OPEN
MARIANO'S FRESH MARKET,3145 SOUTH ASHLAND AVE,60608,OPEN
ALDI,7800 S SOUTH CHICAGO AVE,60619,OPEN
FOOD 4 LESS,7030 S ASHLAND AVE,60636,OPEN
WHOLE FOODS MARKET,1 N HALSTED ST,60661,OPEN
TED'S FRESH MARKET,2840 W DEVON AVE,60645,OPEN
ALDI,4645 W. DIVERSY AVE,60639,OPEN
FOODSMART,3415 W DIVERSEY AVE,60647,OPEN
SHOP & SAVE MARKET,6312 N NAGLE AVE,60646,OPEN
LA CIENEGA SUPER FOOD,10736 S EWING AVE,60617,OPEN
CHICAGO PRODUCE,3500 W LAWRENCE AVE,60625,OPEN
PAULINA SUPER MARKET,7622 N PAULINA ST,60626,OPEN
SAVE A LOT,5555 W NORTH AVE,60639,OPEN
FOOD 4 LESS,112 W 87TH ST STE G1,60620,OPEN
FRESH MARKETPLACE,2134 N WESTERN AVE,60647,OPEN
ALDI,4030 W WRIGHTWOOD AVE,60639,OPEN
PETE'S FRESH MARKET,4343 S PULASKI RD.,60632,OPEN
WALMART NEIGHBORHOOD MARKET,4720 S COTTAGE GROVE AVE,60615,CLOSED
FRESH MARKETPLACE,5020 W FULLERTON AVE,60639,OPEN
ALDI,1753 N MILWAUKEE AVE,60647,OPEN
COSTCO,1430 S ASHLAND AVE,60608,OPEN
TARGET,1664 W DIVISION ST,60622,OPEN
MORSE FRESH MARKET,1430 W MORSE AVE,60626,OPEN
LOCAL MARKET,2101 E 71ST ST,60649,OPEN
TARGET,1200 N LARRABEE ST,60610,OPEN
ALDI,5001 N PULASKI RD,60630,OPEN
ALDI,3320 W BELMONT AVE,60618,OPEN
OLD WORLD MARKET,5129 N BROADWAY,60640,OPEN
JEWEL - OSCO,1340 S CANAL ST,60607,OPEN
PARK TO SHOP SUPERMARKET CANAL,1835 S CANAL ST,60616,OPEN
JEWEL - OSCO,2940 N ASHLAND AVE,60657,OPEN
LA MERCED,4335 W 26TH ST,60623,OPEN
ALDI,6621 S COTTAGE GROVE AVE,60637,OPEN
FAIRPLAY NEIGHBORHOOD MARKET,2200 S WESTERN AVE.,60608,OPEN
FRESH FARMS,2626 W DEVON AVE,60659,OPEN
JEWEL - OSCO,9400 S ASHLAND AVE,60620,OPEN
ALDI,1508 W 47TH ST,60609,OPEN
ALDI,6221 N BROADWAY ST,60660,OPEN
CARNIVAL GROCERY & LIQUOR,458 W DICKENS AVE,60614,OPEN
FOOD 4 LESS,4821 W NORTH AVE,60639,OPEN
WHOLE FOODS MARKET,6020 N CICERO AVE,60646,OPEN
WALMART,8331 S STEWART AVE,60620,CLOSED
TARGET,3300 N ASHLAND AVE,60657,OPEN
SUPERMERCADO CHAPALA,7117 N CLARK ST,60626,OPEN
GROCERY BASKET,351 E 103RD ST,60628,OPEN
CARNICERIA LA HACIENDA,2744 W 55TH ST,60632,OPEN
CARNICERIA JIMENEZ,4204 W NORTH AVE,60639,OPEN
PETE'S FRESH MARKET,2333 W MADISON ST.,60612,OPEN
TARGET,6422 N SHERIDAN RD UNIT A,60626,OPEN
JEWEL - OSCO,370 N DESPLAINES ST,60661,OPEN
WALMART,2844 N BROADWAY ST,60657,CLOSED
TRADER JOE'S,3745 N LINCOLN AVE,60613,OPEN
CERMAK PRODUCE,3435 S ARCHER,60608,OPEN
ALDI,7345 S STATE ST,60619,OPEN
TARGET,1 S STATE ST,60603,OPEN
FRESH MARKETPLACE,2600 N CENTRAL AVE,60639,OPEN
MARIO'S BUTCHER SHOP,5817 W MADISON ST,60644,OPEN
SUPER MERCADO ROMAN,6978 N CLARK ST,60626,OPEN
COUNTY FAIR FOODS,10800 S WESTERN AVENUE,60643,OPEN
ALDI,7627 S ASHLAND AVE,60620,OPEN
ALDI,2333 E 95TH ST,60617,OPEN
SAVE A LOT,344 E 63RD ST,60637,OPEN
COSTCO,2746 N CLYBOURN AVE,60614,OPEN
JEWEL - OSCO,5516 N CLARK ST,60640,OPEN
FARMER'S BEST MARKET,6420 W FULLERTON AVE,60707,OPEN
BOCKWINKEL'S AT MCCLURG,320 E OHIO,60601,OPEN
FOOD TOWN,935 E 79TH ST,60619,OPEN
MARIANO'S FRESH MARKET,1500 N CLYBOURN AVE. #C104,60610,OPEN
SUPERMERCADO EL GUERO,1701 W 47TH STREET,60609,OPEN
SAVE A LOT,4439 W 63RD ST,60629,OPEN
PETE'S FRESH MARKET,2526 W CERMAK RD.,60608,OPEN
CERMAK PRODUCE,5220 S PULASKI,60632,OPEN
JEWEL - OSCO,1341 N PAULINA ST,60622,OPEN
MARIANO'S FRESH MARKET,3857 S DR. MARTIN LUTHER KING JR. DR.,60653,OPEN
TONY'S FINER FOODS,4608 W. BELMONT AVENUE,60641,OPEN
BOCKWINKEL'S FRESH EXPRESS,155 N HARBOR DRIVE,60601,OPEN
TARGET,2939 W ADDISON ST,60618,OPEN
CERMAK PRODUCE,6623 DAMEN AVE,60645,OPEN
WHOLE FOODS MARKET,832 W 63RD ST,60621,OPEN
MARIANO'S FRESH MARKET,5353 N ELSTON,60630,OPEN
ALDI,2431 W MONTROSE AVE,60618,OPEN
ALDI,3030 S KEDZIE AVE,60623,OPEN
GORDON FOOD SERVICE STORE,6431 W FULLERTON AVE,60707,OPEN
CERMAK PRODUCE,4401 W ARMITAGE AVE,60639,OPEN
TARGET,1101 W JACKSON BLVD,60607,OPEN
WHOLE FOODS MARKET,5118 S LAKE PARK AVE,60615,OPEN
SUPERMERCADO EL GUERO,2101 W CERMAK RD,60608,OPEN
ALDI,4645 W DIVERSEY AVE,60639,OPEN
SUPERMERCADO EL GUERO,4023 S ARCHER AVE.,60632,OPEN
WALMART,3320 SOUTH CICERO AVENUE,nan,OPEN
BEVERLY FOOD MART,8636 S ASHLAND AVE,60620,OPEN
FOOD MARKET LA CHICQUITA,3555 W 26TH STREET,60623,OPEN
ALDI,6520 W FULLERTON AVE,60707,OPEN
SUPERMERCADO LA CHIQUTIA,2623 S PULASKI RD,60623,OPEN
TONY'S FINER FOODS,5233 N. LINCOLN AVE,60625,OPEN
ALDI,6025 S WESTERN AVE,60636,OPEN
MARIANO'S FRESH MARKET,3030 N BROADWAY SUITE 100,60657,OPEN
PETE'S FRESH MARKET,4700 S KEDZIE AVE.,60632,OPEN
JEWEL - OSCO,11730 S MARSHFIELD AVE,60643,OPEN
JEWEL - OSCO,3630 N SOUTHPORT AVE,60613,OPEN
POTASH MARKETS,175 E DELAWARE,60611,OPEN
ALDI,3835 W MADISON ST,60624,OPEN
WALMART,2551 W CERMAK RD,60608,CLOSED
CARNICERIA LA HACIENDA,3629 W 63RD ST,60629,OPEN
H MART,711 W JACKSON BLVD,60661,OPEN
LEAMINGTON FOODS,3240 W ROOSEVELT RD,60624,OPEN
JEWEL - OSCO,7530 S STONY ISLAND AVE,60649,CLOSED
JEWEL - OSCO,102 W DIVISION ST,60610,OPEN
PETE'S FRESH MARKET,5724 S KEDZIE AVE.,60629,OPEN
FOOD 4 LESS,4620 S DAMEN AVE,60609,OPEN
PETE'S PRODUCE,1543 EAST 87TH STREET,60619,OPEN
WHOLE FOODS MARKET,1550 N KINGSBURY ST,60642,OPEN
CERMAK PRODUCE,4234 N KEDZIE AVE.,60618,OPEN
LA CASA DEL PUEBLO,1810 S BLUE ISLAND AVE,60608,OPEN
TARGET,4466 N BROADWAY ST,60640,OPEN
PARK TO SHOP SUPERMARKET,2425 S WALLACE ST,60616,OPEN
MORELIA SUPERMARKET,4833 W DIVERSEY AVE,60639,OPEN
HYDE PARK PRODUCE,1226 E 53RD ST,60615,OPEN
JEWEL - OSCO,424 W DIVISION ST,60610,OPEN
ANDY'S FRUIT RANCH,4733 N KEDZIE AVE,60625,OPEN
MARIANO'S FRESH MARKET,5201 N SHERIDAN RD,60640,OPEN
TARGET,1346 E 53RD ST,60615,OPEN
MARIANO'S FRESH MARKET,1800 WEST LAWRENCE AVE.,60640,OPEN
