store_name,address,zip,new_status,median_income
jewel - osco,87 w 87th st,60620,OPEN,48146.0
farm on ogden,3555 w ogden ave,60623,OPEN,51878.0
jewel - osco,5343 n broadway st,60640,OPEN,73254.0
international foods nw,4404 w fullerton ave,60639,OPEN,61089.0
jewel - osco,2520 n narragansett ave,60639,OPEN,61089.0
mariano's fresh market,40 s halsted st,60661,OPEN,125741.0
mariano's fresh market,3145 south ashland ave,60608,OPEN,73366.0
aldi,7800 s south chicago ave,60619,OPEN,45206.0
food 4 less,7030 s ashland ave,60636,OPEN,38807.0
whole foods market,1 n halsted st,60661,OPEN,125741.0
ted's fresh market,2840 w devon ave,60645,OPEN,76045.0
aldi,4645 w. diversy ave,60639,OPEN,61089.0
foodsmart,3415 w diversey ave,60647,OPEN,107060.0
shop & save market,6312 n nagle ave,60646,OPEN,112525.0
la cienega super food,10736 s ewing ave,60617,OPEN,51778.0
chicago produce,3500 w lawrence ave,60625,OPEN,85703.0
paulina super market,7622 n paulina st,60626,OPEN,59713.0
save a lot,5555 w north ave,60639,OPEN,61089.0
food 4 less,112 w 87th st ste g1,60620,OPEN,48146.0
fresh marketplace,2134 n western ave,60647,OPEN,107060.0
aldi,4030 w wrightwood ave,60639,OPEN,61089.0
pete's fresh market,4343 s pulaski rd.,60632,OPEN,64809.0
fresh marketplace,5020 w fullerton ave,60639,OPEN,61089.0
aldi,1753 n milwaukee ave,60647,OPEN,107060.0
costco,1430 s ashland ave,60608,OPEN,73366.0
target,1664 w division st,60622,OPEN,136277.0
morse fresh market,1430 w morse ave,60626,OPEN,59713.0
local market,2101 e 71st st,60649,OPEN,44175.0
target,1200 n larrabee st,60610,OPEN,105226.0
aldi,5001 n pulaski rd,60630,OPEN,98860.0
aldi,3320 w belmont ave,60618,OPEN,106384.0
old world market,5129 n broadway,60640,OPEN,73254.0
jewel - osco,1340 s canal st,60607,OPEN,127732.0
park to shop supermarket canal,1835 s canal st,60616,OPEN,73819.0
jewel - osco,2940 n ashland ave,60657,OPEN,110939.0
la merced,4335 w 26th st,60623,OPEN,51878.0
aldi,6621 s cottage grove ave,60637,OPEN,43609.0
fairplay neighborhood market,2200 s western ave.,60608,OPEN,73366.0
fresh farms,2626 w devon ave,60659,OPEN,68704.0
jewel - osco,9400 s ashland ave,60620,OPEN,48146.0
aldi,1508 w 47th st,60609,OPEN,58896.0
aldi,6221 n broadway st,60660,OPEN,67479.0
carnival grocery & liquor,458 w dickens ave,60614,OPEN,136448.0
food 4 less,4821 w north ave,60639,OPEN,61089.0
whole foods market,6020 n cicero ave,60646,OPEN,112525.0
target,3300 n ashland ave,60657,OPEN,110939.0
supermercado chapala,7117 n clark st,60626,OPEN,59713.0
grocery basket,351 e 103rd st,60628,OPEN,54644.0
carniceria la hacienda,2744 w 55th st,60632,OPEN,64809.0
carniceria jimenez,4204 w north ave,60639,OPEN,61089.0
pete's fresh market,2333 w madison st.,60612,OPEN,60922.0
target,6422 n sheridan rd unit a,60626,OPEN,59713.0
jewel - osco,370 n desplaines st,60661,OPEN,125741.0
trader joe's,3745 n lincoln ave,60613,OPEN,95572.0
cermak produce,3435 s archer,60608,OPEN,73366.0
aldi,7345 s state st,60619,OPEN,45206.0
target,1 s state st,60603,OPEN,133545.0
fresh marketplace,2600 n central ave,60639,OPEN,61089.0
mario's butcher shop,5817 w madison st,60644,OPEN,40950.0
super mercado roman,6978 n clark st,60626,OPEN,59713.0
county fair foods,10800 s western avenue,60643,OPEN,80852.0
aldi,7627 s ashland ave,60620,OPEN,48146.0
aldi,2333 e 95th st,60617,OPEN,51778.0
save a lot,344 e 63rd st,60637,OPEN,43609.0
costco,2746 n clybourn ave,60614,OPEN,136448.0
jewel - osco,5516 n clark st,60640,OPEN,73254.0
farmer's best market,6420 w fullerton ave,60707,OPEN,84799.0
bockwinkel's at mcclurg,320 e ohio,60601,OPEN,121458.0
food town,935 e 79th st,60619,OPEN,45206.0
mariano's fresh market,1500 n clybourn ave. #c104,60610,OPEN,105226.0
supermercado el guero,1701 w 47th street,60609,OPEN,58896.0
save a lot,4439 w 63rd st,60629,OPEN,60826.0
pete's fresh market,2526 w cermak rd.,60608,OPEN,73366.0
cermak produce,5220 s pulaski,60632,OPEN,64809.0
jewel - osco,1341 n paulina st,60622,OPEN,136277.0
mariano's fresh market,3857 s dr. martin luther king jr. dr.,60653,OPEN,40666.0
tony's finer foods,4608 w. belmont avenue,60641,OPEN,83758.0
bockwinkel's fresh express,155 n harbor drive,60601,OPEN,121458.0
target,2939 w addison st,60618,OPEN,106384.0
cermak produce,6623 damen ave,60645,OPEN,76045.0
whole foods market,832 w 63rd st,60621,OPEN,31905.0
mariano's fresh market,5353 n elston,60630,OPEN,98860.0
aldi,2431 w montrose ave,60618,OPEN,106384.0
aldi,3030 s kedzie ave,60623,OPEN,51878.0
gordon food service store,6431 w fullerton ave,60707,OPEN,84799.0
cermak produce,4401 w armitage ave,60639,OPEN,61089.0
target,1101 w jackson blvd,60607,OPEN,127732.0
whole foods market,5118 s lake park ave,60615,OPEN,63876.0
supermercado el guero,2101 w cermak rd,60608,OPEN,73366.0
aldi,4645 w diversey ave,60639,OPEN,61089.0
supermercado el guero,4023 s archer ave.,60632,OPEN,64809.0
walmart,3320 south cicero avenue,nan,OPEN,
beverly food mart,8636 s ashland ave,60620,OPEN,48146.0
food market la chicquita,3555 w 26th street,60623,OPEN,51878.0
aldi,6520 w fullerton ave,60707,OPEN,84799.0
supermercado la chiqutia,2623 s pulaski rd,60623,OPEN,51878.0
tony's finer foods,5233 n. lincoln ave,60625,OPEN,85703.0
aldi,6025 s western ave,60636,OPEN,38807.0
mariano's fresh market,3030 n broadway suite 100,60657,OPEN,110939.0
pete's fresh market,4700 s kedzie ave.,60632,OPEN,64809.0
jewel - osco,11730 s marshfield ave,60643,OPEN,80852.0
jewel - osco,3630 n southport ave,60613,OPEN,95572.0
potash markets,175 e delaware,60611,OPEN,125675.0
aldi,3835 w madison st,60624,OPEN,34030.0
carniceria la hacienda,3629 w 63rd st,60629,OPEN,60826.0
h mart,711 w jackson blvd,60661,OPEN,125741.0
leamington foods,3240 w roosevelt rd,60624,OPEN,34030.0
jewel - osco,102 w division st,60610,OPEN,105226.0
pete's fresh market,5724 s kedzie ave.,60629,OPEN,60826.0
food 4 less,4620 s damen ave,60609,OPEN,58896.0
pete's produce,1543 east 87th street,60619,OPEN,45206.0
whole foods market,1550 n kingsbury st,60642,OPEN,143175.0
cermak produce,4234 n kedzie ave.,60618,OPEN,106384.0
la casa del pueblo,1810 s blue island ave,60608,OPEN,73366.0
target,4466 n broadway st,60640,OPEN,73254.0
park to shop supermarket,2425 s wallace st,60616,OPEN,73819.0
morelia supermarket,4833 w diversey ave,60639,OPEN,61089.0
hyde park produce,1226 e 53rd st,60615,OPEN,63876.0
jewel - osco,424 w division st,60610,OPEN,105226.0
andy's fruit ranch,4733 n kedzie ave,60625,OPEN,85703.0
mariano's fresh market,5201 n sheridan rd,60640,OPEN,73254.0
target,1346 e 53rd st,60615,OPEN,63876.0
mariano's fresh market,1800 west lawrence ave.,60640,OPEN,73254.0
fairplay neighborhood market,2323 w 111th st.,60643,OPEN,80852.0
pete's fresh market,3448 e 118th st.,60617,OPEN,51778.0
tony's finer foods,5630 w. belmont ave,60634,OPEN,88533.0
stumpy's grocery & deli,9001 s ashland ave,60620,OPEN,48146.0
devon market,1440 w devon ave,60660,OPEN,67479.0
whole foods market,255 e grand ave,60611,OPEN,125675.0
target,1154 s clark st,60605,OPEN,123922.0
mariano's fresh market,2112 n ashland,60614,OPEN,136448.0
tony's finer foods,4137 n. elston ave,60618,OPEN,106384.0
los cuatro hermanos grocery,1858 s allport st,60608,OPEN,73366.0
target,7100 s cicero ave,60629,OPEN,60826.0
park to shop supermarket broadway,4879 n broadway,60640,OPEN,73254.0
dill pickle food co-op,2746 n milwaukee ave,60647,OPEN,107060.0
target,4433 s pulaski rd,60632,OPEN,64809.0
moses butcher shop,5057 w division st,60651,OPEN,54409.0
jewel - osco,4660 w irving park rd,60641,OPEN,83758.0
mariano's fresh market,3350 north western avenue,60618,OPEN,106384.0
happy foods - edgebrook,6415 n central ave,60646,OPEN,112525.0
target,2656 n elston ave,60647,OPEN,107060.0
trader joe's,667 w diversey pkwy,60614,OPEN,136448.0
ogies food,2600 w lithuanian plaza ct,60629,OPEN,60826.0
walmart,10900 s doty ave,60628,OPEN,54644.0
cermak produce,1711 w cermak,60608,OPEN,73366.0
cermak produce,3033 s halsted st.,60608,OPEN,73366.0
pete's fresh market,5838 s pulaski rd.,60629,OPEN,60826.0
whole foods market,3201 n ashland ave,60657,OPEN,110939.0
target,401 e illinois st,60611,OPEN,125675.0
jewel - osco,6107 s archer ave,60638,OPEN,91070.0
foodsmart,2901 w armitage ave,60647,OPEN,107060.0
save a lot,7240 s stony island,60649,OPEN,44175.0
aldi,821 w 115th st,60643,OPEN,80852.0
trader joe's,44 e ontario st,60611,OPEN,125675.0
leamington foods,5467 w madison st,60644,OPEN,40950.0
cermak produce,3311 w 26th st.,60623,OPEN,51878.0
whole foods market,3640 n halsted st,60613,OPEN,95572.0
jewel - osco,6430 w irving park rd,60634,OPEN,88533.0
carniceria jimenez,3850 w fullerton ave,60647,OPEN,107060.0
target,6525 w diversey ave,60707,OPEN,84799.0
aldi,10532 s indianapolis ave,60617,OPEN,51778.0
costco,7300 s cicero ave,60629,OPEN,60826.0
target,2650 n clark st,60614,OPEN,136448.0
mariano's fresh market,1615 s clark street,60616,OPEN,73819.0
aldi,4500 n broadway st,60640,OPEN,73254.0
aldi,8500 s holland rd,60620,OPEN,48146.0
whole foods market,6009 n broadway st,60660,OPEN,67479.0
armitage produce,3334 w. armitage ave.,60647,OPEN,107060.0
que rico supermercado,3552 w armitage ave,60647,OPEN,107060.0
jewel - osco,5320 s pulaski rd,60632,OPEN,64809.0
clarendon food mart,4183 n clarendon ave,60613,OPEN,95572.0
trader joe's,1840 n clybourn ave,60614,OPEN,136448.0
j freshmart,2411 s wallace st,60616,OPEN,73819.0
plum market,1233 n wells st,60610,OPEN,105226.0
jewel - osco,4250 n lincoln ave,60618,OPEN,106384.0
first choice market,3019 e 91st st,60617,OPEN,51778.0
la feria grocery,9704 s commercial ave,60617,OPEN,51778.0
target,1940 w 33rd st,60608,OPEN,73366.0
tony's finer foods,2500 n central avenue,60639,OPEN,61089.0
jewel - osco,550 n state st,60654,OPEN,147357.0
jewel - osco,4734 n cumberland ave apt n,60656,OPEN,95766.0
tai nam food market,4925 n broadway,60640,OPEN,73254.0
jewel - osco,1224 s wabash ave,60605,OPEN,123922.0
tony's finer foods,3607 w fullerton,60647,OPEN,107060.0
trader joe's,1528 e 55th st,60615,OPEN,63876.0
jewel - osco,4355 n sheridan rd,60613,OPEN,95572.0
trader joe's,1147 s wabash ave,60605,OPEN,123922.0
jewel - osco,2550 n clybourn ave,60614,OPEN,136448.0
jewel - osco,4729 n central ave,60630,OPEN,98860.0
jewel - osco,4042 w foster ave,60630,OPEN,98860.0
jewel - osco,1763 w howard st,60626,OPEN,59713.0
market fresh finer foods,800 n kedzie avenue,60651,OPEN,54409.0
happy foods - edison park,6783 northwest highway,60631,OPEN,115000.0
jewel - osco,3128 w 103rd st,60655,OPEN,114723.0
aldi,2828 n central ave,60634,OPEN,88533.0
aldi,5629 w fillmore st,60644,OPEN,40950.0
woodlawn super fair llc,6319 s vernon ave,60637,OPEN,43609.0
target,3204 n clark st,60657,OPEN,110939.0
aldi,1739 w cermak rd,60608,OPEN,73366.0
