median_income,store_count
31905.0,2
34030.0,3
37217.0,1
38807.0,2
40666.0,2
40950.0,3
43609.0,4
44175.0,2
45206.0,4
48146.0,9
51778.0,8
51878.0,7
54409.0,3
54644.0,3
58896.0,5
59713.0,6
60826.0,9
60922.0,1
61089.0,14
63876.0,4
64809.0,10
67479.0,3
68704.0,3
73254.0,9
73366.0,13
73819.0,6
76045.0,2
80020.0,1
80852.0,4
83758.0,3
84799.0,4
85703.0,4
88533.0,5
91070.0,5
95572.0,5
95766.0,2
98860.0,5
105226.0,7
106384.0,9
107060.0,14
110939.0,6
112525.0,3
114723.0,1
115000.0,1
121458.0,4
123922.0,3
125675.0,4
125741.0,4
127732.0,3
133545.0,1
136277.0,3
136448.0,11
143175.0,1
147357.0,2
